,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution_5,
26,Hepatitis B,Avoid sharing personal items like razors or needles. ,"Follow a low-fat, liver-friendly diet. ",Get vaccinated,Avoid alcohol to reduce liver strain. ,Consult: Hepatologist,
27,Fungal infection,Keep affected areas clean and dry. ,Avoid sharing personal items like towels or razors. ,Use antifungal creams or powders as directed. ,Wear breathable clothing to reduce moisture buildup. ,Consult: Dermatologist,
28,Hepatitis C,Avoid sharing personal items like razors or needles. ,"Follow a low-fat, liver-friendly diet. ",Get vaccinated,Avoid alcohol to reduce liver strain. ,Consult: Hepatologist,
29,Migraine,Avoid known triggers like bright lights or certain foods. ,Maintain a regular sleep schedule. ,Use prescribed pain relief medication at the onset of symptoms. ,Stay hydrated and avoid caffeine. ,Consult: Neurologist,
30,Bronchial Asthma,Avoid allergens and known triggers. ,Use prescribed inhalers and medications regularly. ,Stay indoors during high pollen seasons. ,Maintain humidity levels at home. ,Consult: Pulmonologist,
31,Alcoholic hepatitis,Abstain from alcohol completely. ,"Follow a nutritious, liver-supportive diet. ","Take prescribed vitamin supplements (e.g., Vitamin B1). ",Monitor liver enzyme levels regularly. ,Consult: Hepatologist,
32,Jaundice,Avoid fatty and oily foods, stick to a light diet. ,Stay hydrated with water and natural juices. ,Limit alcohol consumption. ,Rest adequately to support liver recovery. ,Consult: Hepatologist
33,Hepatitis E,Avoid sharing personal items like razors or needles. ,"Follow a low-fat, liver-friendly diet. ",Get vaccinated,Avoid alcohol to reduce liver strain. ,Consult: Hepatologist,
34,Dengue,Avoid mosquito bites by using repellents and nets. ,Stay hydrated with ORS and water. ,Monitor for signs of bleeding or low platelet count. ,Avoid NSAIDs like aspirin, use paracetamol for fever. ,Consult: Infectious Disease Specialist
35,Hepatitis D,Avoid sharing personal items like razors or needles. ,"Follow a low-fat, liver-friendly diet. ",Get vaccinated,Avoid alcohol to reduce liver strain. ,Consult: Hepatologist,
36,Heart attack,Maintain a heart-healthy diet low in salt and fat. ,Monitor blood pressure and cholesterol regularly. ,Avoid smoking and excessive alcohol consumption. ,Exercise regularly but avoid overexertion. ,Consult: Cardiologist,
37,Pneumonia,Complete the prescribed antibiotics course. ,Stay hydrated to loosen mucus. ,Avoid smoking and exposure to pollutants. ,Get vaccinated if at risk.,Consult: Pulmonologist,
38,Arthritis,Avoid repetitive joint strain and overexertion. ,Engage in physical therapy or gentle exercises like yoga. ,Use anti-inflammatory medications as prescribed. ,Eat an anti-inflammatory diet rich in omega-3s and antioxidants. ,Consult: Rheumatologist,
39,Gastroenteritis,Stay hydrated with ORS (oral rehydration solutions). ,Avoid raw or uncooked foods. ,Wash hands frequently to prevent contamination. ,Rest adequately to recover faster. ,Consult: Gastroenterologist,
40,Tuberculosis,Take prescribed anti-TB medications without interruption. ,Wear a mask to prevent spreading the infection. ,Maintain good ventilation in living spaces. ,Avoid crowded places until treatment is completed. ,Consult: Pulmonologist,
